sport,sex,height_cm,weight_kg,cluster_women,cluster_men,cluster_combined,dominant_sport_women,dominant_sport_men,dominant_sport_combined
gymnastics,M,162.0,54.0,,0.0,1.0,,weightlifting,distance_running
gymnastics,M,166.0,75.91222782005656,,0.0,2.0,,weightlifting,gymnastics
gymnastics,M,168.0,54.218155357103825,,0.0,1.0,,weightlifting,distance_running
gymnastics,F,150.0,68.1968839458674,3.0,,1.0,gymnastics,,distance_running
rowing,M,189.0,90.0,,3.0,3.0,,track_field,swimming
rowing,M,177.0,72.0,,0.0,2.0,,weightlifting,gymnastics
rowing,M,177.0,72.0,,0.0,2.0,,weightlifting,gymnastics
rowing,F,176.0,69.0,2.0,,2.0,rowing,,gymnastics
rowing,F,179.0,80.0,2.0,,3.0,rowing,,swimming
rowing,F,179.0,74.0,2.0,,2.0,rowing,,gymnastics
rowing,M,191.0,88.0,,3.0,3.0,,track_field,swimming
rowing,M,190.0,87.0,,3.0,3.0,,track_field,swimming
rowing,M,198.0,98.0,,1.0,4.0,,volleyball,basketball
rowing,M,185.0,83.0,,3.0,3.0,,track_field,swimming
rowing,F,183.0,75.0,2.0,,3.0,rowing,,swimming
rowing,M,200.0,103.0,,1.0,4.0,,volleyball,basketball
rowing,F,191.0,77.0,2.0,,3.0,rowing,,swimming
rowing,F,182.0,75.0,2.0,,3.0,rowing,,swimming
rowing,F,177.0,76.0,2.0,,2.0,rowing,,gymnastics
rowing,M,190.0,89.0,,3.0,3.0,,track_field,swimming
rowing,M,193.0,94.0,,1.0,4.0,,volleyball,basketball
rowing,M,193.0,91.0,,1.0,4.0,,volleyball,basketball
rowing,M,195.0,100.0,,1.0,4.0,,volleyball,basketball
rowing,M,196.0,98.0,,1.0,4.0,,volleyball,basketball
rowing,M,200.0,99.0,,1.0,4.0,,volleyball,basketball
rowing,M,189.0,88.0,,3.0,3.0,,track_field,swimming
rowing,M,198.0,100.0,,1.0,4.0,,volleyball,basketball
rowing,M,193.0,93.0,,1.0,4.0,,volleyball,basketball
rowing,F,181.0,74.0,2.0,,3.0,rowing,,swimming
rowing,F,182.0,70.0,2.0,,3.0,rowing,,swimming
rowing,F,178.0,70.0,2.0,,2.0,rowing,,gymnastics
rowing,F,178.0,70.0,2.0,,2.0,rowing,,gymnastics
rowing,M,193.0,90.0,,1.0,4.0,,volleyball,basketball
rowing,F,186.0,76.0,2.0,,3.0,rowing,,swimming
soccer,M,193.0,92.0,,1.0,4.0,,volleyball,basketball
soccer,M,183.0,76.0,,3.0,3.0,,track_field,swimming
soccer,M,168.0,70.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,177.0,75.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,193.0,92.0,,1.0,4.0,,volleyball,basketball
soccer,M,191.0,91.0,,3.0,4.0,,track_field,basketball
soccer,M,176.0,73.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,185.0,78.0,,3.0,3.0,,track_field,swimming
soccer,M,172.0,66.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,184.0,82.0,,3.0,3.0,,track_field,swimming
soccer,M,177.0,75.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,195.0,95.0,,1.0,4.0,,volleyball,basketball
soccer,M,187.0,85.0,,3.0,3.0,,track_field,swimming
soccer,M,191.0,94.0,,1.0,4.0,,volleyball,basketball
soccer,M,185.0,81.0,,3.0,3.0,,track_field,swimming
soccer,M,175.0,69.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,187.0,84.0,,3.0,3.0,,track_field,swimming
soccer,M,170.0,69.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,178.0,73.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,195.0,94.0,,1.0,4.0,,volleyball,basketball
soccer,M,181.0,70.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,175.0,68.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,170.0,72.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,185.0,81.0,,3.0,3.0,,track_field,swimming
soccer,M,188.0,86.0,,3.0,3.0,,track_field,swimming
soccer,M,186.0,75.0,,3.0,3.0,,track_field,swimming
soccer,M,171.0,70.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,173.0,64.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,176.0,73.0,,0.0,2.0,,weightlifting,gymnastics
soccer,M,175.0,71.0,,0.0,2.0,,weightlifting,gymnastics
swimming,,187.96,72.97277503524793,,,3.0,,,swimming
swimming,,193.04,100.93770236843713,,,4.0,,,basketball
swimming,,193.04,86.18248,,,3.0,,,swimming
swimming,,187.96,87.79130726574029,,,3.0,,,swimming
swimming,,190.5,48.97587424442791,,,3.0,,,swimming
swimming,,187.96,87.4313850874953,,,3.0,,,swimming
swimming,,187.96,74.36491238198869,,,3.0,,,swimming
swimming,,187.96,68.98773074744757,,,3.0,,,swimming
swimming,,187.96,92.73030786245302,,,3.0,,,swimming
swimming,,180.34,100.45638843777408,,,0.0,,,weightlifting
swimming,,187.96,98.6190465411201,,,4.0,,,basketball
swimming,,187.96,65.99741638747689,,,3.0,,,swimming
swimming,,187.96,75.76282441944583,,,3.0,,,swimming
swimming,,193.04,87.56366753100244,,,3.0,,,swimming
swimming,,193.04,99.43463459127842,,,4.0,,,basketball
swimming,,185.42,72.63125684792902,,,3.0,,,swimming
swimming,,193.04,89.811216,,,4.0,,,basketball
swimming,,190.5,83.007336,,,3.0,,,swimming
swimming,,195.58,103.872568,,,4.0,,,basketball
swimming,,203.2,86.18248,,,4.0,,,basketball
swimming,,190.5,79.83219199999999,,,3.0,,,swimming
swimming,,200.66,87.996848,,,4.0,,,basketball
swimming,,193.04,78.03931053054417,,,3.0,,,swimming
swimming,,193.04,83.007336,,,3.0,,,swimming
swimming,,190.5,61.07574550881435,,,3.0,,,swimming
swimming,,193.04,59.41984964093861,,,3.0,,,swimming
swimming,,187.96,96.43098446513588,,,4.0,,,basketball
swimming,,193.04,106.44898354009939,,,4.0,,,basketball
swimming,,195.58,80.13330423562525,,,3.0,,,swimming
swimming,,190.5,99.95031260464583,,,4.0,,,basketball
tennis,M,191.0,80.0,,3.0,3.0,,track_field,swimming
tennis,M,198.0,86.0,,1.0,4.0,,volleyball,basketball
tennis,M,208.0,109.0,,1.0,4.0,,volleyball,basketball
tennis,M,211.0,109.0,,1.0,4.0,,volleyball,basketball
tennis,F,176.0,63.0,1.0,,2.0,track_field,,gymnastics
tennis,F,183.0,77.0,2.0,,3.0,rowing,,swimming
tennis,F,181.0,70.0,2.0,,2.0,rowing,,gymnastics
tennis,F,180.0,65.0,2.0,,2.0,rowing,,gymnastics
tennis,F,183.0,70.0,2.0,,3.0,rowing,,swimming
tennis,F,175.0,68.0,2.0,,2.0,rowing,,gymnastics
tennis,F,168.0,59.0,1.0,,1.0,track_field,,distance_running
tennis,F,182.0,70.0,2.0,,3.0,rowing,,swimming
tennis,M,183.0,76.0,,3.0,3.0,,track_field,swimming
tennis,F,167.0,60.0,1.0,,1.0,track_field,,distance_running
tennis,F,180.0,69.0,2.0,,2.0,rowing,,gymnastics
tennis,M,170.0,64.0,,0.0,2.0,,weightlifting,gymnastics
tennis,M,193.0,85.0,,1.0,3.0,,volleyball,swimming
tennis,M,196.0,95.0,,1.0,4.0,,volleyball,basketball
tennis,M,188.0,77.0,,3.0,3.0,,track_field,swimming
tennis,M,185.0,73.0,,3.0,3.0,,track_field,swimming
tennis,M,185.0,79.0,,3.0,3.0,,track_field,swimming
tennis,M,198.0,90.0,,1.0,4.0,,volleyball,basketball
tennis,M,185.0,85.0,,3.0,3.0,,track_field,swimming
tennis,M,198.0,83.0,,1.0,4.0,,volleyball,basketball
tennis,M,193.0,91.0,,1.0,4.0,,volleyball,basketball
tennis,M,188.0,79.0,,3.0,3.0,,track_field,swimming
tennis,M,185.0,77.0,,3.0,3.0,,track_field,swimming
tennis,M,188.0,86.0,,3.0,3.0,,track_field,swimming
tennis,M,185.0,85.0,,3.0,3.0,,track_field,swimming
tennis,M,185.0,85.0,,3.0,3.0,,track_field,swimming
track_field,F,168.0,60.0,1.0,,1.0,track_field,,distance_running
track_field,F,170.0,60.0,1.0,,1.0,track_field,,distance_running
track_field,F,166.0,58.0,1.0,,1.0,track_field,,distance_running
track_field,F,152.0,52.0,3.0,,1.0,gymnastics,,distance_running
track_field,F,165.0,59.0,1.0,,1.0,track_field,,distance_running
track_field,M,178.0,88.1232861901693,,3.0,3.0,,track_field,swimming
track_field,F,167.0,64.0,1.0,,1.0,track_field,,distance_running
track_field,F,170.0,60.0,1.0,,1.0,track_field,,distance_running
track_field,F,175.44305084400918,69.5736909162154,2.0,,2.0,rowing,,gymnastics
track_field,F,170.0,64.0,1.0,,2.0,track_field,,gymnastics
track_field,F,168.0,88.11885643149434,0.0,,2.0,gymnastics,,gymnastics
track_field,M,183.0,77.0,,3.0,3.0,,track_field,swimming
track_field,F,168.0,60.0,1.0,,1.0,track_field,,distance_running
track_field,F,168.0,63.0,1.0,,1.0,track_field,,distance_running
track_field,M,188.0,86.0,,3.0,3.0,,track_field,swimming
track_field,M,183.0,78.0,,3.0,3.0,,track_field,swimming
track_field,M,195.0,94.0,,1.0,4.0,,volleyball,basketball
track_field,M,180.0,90.0,,3.0,3.0,,track_field,swimming
track_field,M,185.0,83.0,,3.0,3.0,,track_field,swimming
track_field,M,176.0,73.0,,0.0,2.0,,weightlifting,gymnastics
track_field,M,173.0,75.0,,0.0,2.0,,weightlifting,gymnastics
track_field,M,178.0,83.0,,3.0,2.0,,track_field,gymnastics
track_field,M,176.0,75.0,,0.0,2.0,,weightlifting,gymnastics
track_field,M,175.0,109.79860642612257,,3.0,0.0,,track_field,weightlifting
track_field,M,183.0,80.80000026931125,,3.0,3.0,,track_field,swimming
track_field,M,180.0,110.28884521968008,,3.0,0.0,,track_field,weightlifting
track_field,M,188.0,88.0,,3.0,3.0,,track_field,swimming
track_field,M,183.0,79.0,,3.0,3.0,,track_field,swimming
track_field,F,152.0,52.0,3.0,,1.0,gymnastics,,distance_running
volleyball,M,202.0,91.0,,1.0,4.0,,volleyball,basketball
volleyball,M,197.0,88.0,,1.0,4.0,,volleyball,basketball
volleyball,M,196.0,87.0,,1.0,4.0,,volleyball,basketball
volleyball,M,188.0,93.0,,3.0,3.0,,track_field,swimming
volleyball,M,189.0,80.0,,3.0,3.0,,track_field,swimming
volleyball,M,198.0,91.0,,1.0,4.0,,volleyball,basketball
volleyball,M,218.0,105.0,,1.0,4.0,,volleyball,basketball
