sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,height_weight_ratio,weight_height_ratio,arm_span,arm_span_ratio,leg_length,leg_length_ratio,torso_length,torso_length_ratio,size_category,build_category,proportions_category,weighted_height_cm,weighted_weight_kg,weighted_bmi,weighted_height_weight_ratio,weighted_weight_height_ratio,weighted_arm_span_ratio,weighted_leg_length_ratio,weighted_torso_length_ratio,weighted_size_category,weighted_build_category,weighted_proportions_category,cluster
gymnastics,160.0,,,GYMNAST,Viktoria Listunova,160 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,1.0,,,160.0,,,,,,,,1.0,,,0
gymnastics,152.0,,,GYMNAST,Angelina Melnikova,152 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,1.0,,,152.0,,,,,,,,1.0,,,0
gymnastics,165.0,,,GYMNAST,Asia D'Amato,165 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,2.0,,,165.0,,,,,,,,2.0,,,0
gymnastics,165.0,,,GYMNAST,Larisa Iordache,165 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,2.0,,,165.0,,,,,,,,2.0,,,0
gymnastics,150.0,,,GYMNAST,Alice D'Amato,150 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,1.0,,,150.0,,,,,,,,1.0,,,0
rowing,176.0,69.0,22.275309917355372,ROWER,Zoe Stevenson,176 cm,69 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.550724637681159,0.39204545454545453,,,,,,,3.0,3.0,2.0,176.0,69.0,33.41296487603306,5.101449275362318,0.5880681818181818,,,,3.0,3.0,2.0,0
rowing,179.0,80.0,24.968009737523797,ROWER,Emma Twigg,179 cm,80 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.2375,0.44692737430167595,,,,,,,4.0,4.0,1.0,179.0,80.0,37.452014606285694,4.475,0.6703910614525139,,,,4.0,4.0,1.0,0
rowing,179.0,74.0,23.095409007209515,ROWER,Grace Prendergast,179 cm,74 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.418918918918919,0.4134078212290503,,,,,,,4.0,4.0,1.0,179.0,74.0,34.643113510814274,4.837837837837838,0.6201117318435754,,,,4.0,4.0,1.0,0
rowing,183.0,75.0,22.395413419331717,ROWER,Sarah Cook,183 cm,75 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.44,0.4098360655737705,,,,,,,4.0,4.0,1.0,183.0,75.0,33.593120128997576,4.88,0.6147540983606558,,,,4.0,4.0,1.0,0
rowing,191.0,77.0,21.106877552698666,ROWER,Grace Luczak,191 cm,77 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.4805194805194803,0.4031413612565445,,,,,,,4.0,2.0,1.0,191.0,77.0,31.660316329048,4.961038961038961,0.6047120418848168,,,,4.0,2.0,1.0,0
